seq,condition,counter,rtt_ms,resp_type,req_bytes,unix_time
0,unsigned,,159.000,255,7,1787087521.879
0,signed,300000,259.000,3,79,1787087522.143
1,unsigned,,120.000,255,7,1787087522.264
1,signed,300001,148.000,3,79,1787087522.414
2,unsigned,,94.000,255,7,1787087522.511
2,signed,300002,172.000,3,79,1787087522.686
3,unsigned,,120.000,255,7,1787087522.809
3,signed,300003,139.000,3,79,1787087522.952
4,unsigned,,98.000,255,7,1787087523.055
4,signed,300004,154.000,3,79,1787087523.212
5,unsigned,,100.000,255,7,1787087523.314
5,signed,300005,130.000,3,79,1787087523.447
6,unsigned,,102.000,255,7,1787087523.551
6,signed,300006,129.000,3,79,1787087523.683
7,unsigned,,91.000,255,7,1787087523.776
7,signed,300007,136.000,3,79,1787087523.914
8,unsigned,,90.000,255,7,1787087524.007
8,signed,300008,145.000,3,79,1787087524.156
9,unsigned,,92.000,255,7,1787087524.252
9,signed,300009,128.000,3,79,1787087524.384
10,unsigned,,103.000,255,7,1787087524.489
10,signed,300010,128.000,3,79,1787087524.621
11,unsigned,,112.000,255,7,1787087524.735
11,signed,300011,140.000,3,79,1787087524.877
12,unsigned,,106.000,255,7,1787087524.986
12,signed,300012,128.000,3,79,1787087525.116
13,unsigned,,119.000,255,7,1787087525.238
13,signed,300013,158.000,3,79,1787087525.399
14,unsigned,,92.000,255,7,1787087525.493
14,signed,300014,152.000,3,79,1787087525.649
15,unsigned,,96.000,255,7,1787087525.747
15,signed,300015,152.000,3,79,1787087525.900
16,unsigned,,102.000,255,7,1787087526.004
16,signed,300016,134.000,3,79,1787087526.142
17,unsigned,,87.000,255,7,1787087526.231
17,signed,300017,162.000,3,79,1787087526.394
18,unsigned,,100.000,255,7,1787087526.497
18,signed,300018,137.000,3,79,1787087526.637
19,unsigned,,90.000,255,7,1787087526.730
19,signed,300019,129.000,3,79,1787087526.861
20,unsigned,,95.000,255,7,1787087526.959
20,signed,300020,148.000,3,79,1787087527.111
21,unsigned,,102.000,255,7,1787087527.215
21,signed,300021,153.000,3,79,1787087527.371
22,unsigned,,89.000,255,7,1787087527.464
22,signed,300022,163.000,3,79,1787087527.630
23,unsigned,,110.000,255,7,1787087527.742
23,signed,300023,143.000,3,79,1787087527.888
24,unsigned,,104.000,255,7,1787087527.995
24,signed,300024,144.000,3,79,1787087528.143
