seq,condition,counter,rtt_ms,resp_type,req_bytes,unix_time
0,unsigned,,99.000,255,7,1787088309.894
0,signed,320000,228.000,3,79,1787088310.127
1,unsigned,,91.000,255,7,1787088310.221
1,signed,320001,127.000,3,79,1787088310.351
2,unsigned,,89.000,255,7,1787088310.443
2,signed,320002,127.000,3,79,1787088310.572
3,unsigned,,88.000,255,7,1787088310.664
3,signed,320003,131.000,3,79,1787088310.798
4,unsigned,,92.000,255,7,1787088310.893
4,signed,320004,126.000,3,79,1787088311.023
5,unsigned,,95.000,255,7,1787088311.120
5,signed,320005,129.000,3,79,1787088311.251
6,unsigned,,89.000,255,7,1787088311.343
6,signed,320006,129.000,3,79,1787088311.475
7,unsigned,,90.000,255,7,1787088311.567
7,signed,320007,131.000,3,79,1787088311.699
8,unsigned,,88.000,255,7,1787088311.789
8,signed,320008,129.000,3,79,1787088311.921
9,unsigned,,90.000,255,7,1787088312.014
9,signed,320009,130.000,3,79,1787088312.147
10,unsigned,,92.000,255,7,1787088312.242
10,signed,320010,126.000,3,79,1787088312.372
11,unsigned,,93.000,255,7,1787088312.468
11,signed,320011,130.000,3,79,1787088312.600
12,unsigned,,91.000,255,7,1787088312.693
12,signed,320012,127.000,3,79,1787088312.823
13,unsigned,,89.000,255,7,1787088312.915
13,signed,320013,128.000,3,79,1787088313.046
14,unsigned,,87.000,255,7,1787088313.135
14,signed,320014,131.000,3,79,1787088313.268
15,unsigned,,92.000,255,7,1787088313.361
15,signed,320015,129.000,3,79,1787088313.493
16,unsigned,,86.000,255,7,1787088313.583
16,signed,320016,126.000,3,79,1787088313.712
17,unsigned,,87.000,255,7,1787088313.803
17,signed,320017,129.000,3,79,1787088313.934
18,unsigned,,92.000,255,7,1787088314.029
18,signed,320018,133.000,3,79,1787088314.166
19,unsigned,,92.000,255,7,1787088314.260
19,signed,320019,125.000,3,79,1787088314.389
20,unsigned,,90.000,255,7,1787088314.482
20,signed,320020,133.000,3,79,1787088314.615
21,unsigned,,89.000,255,7,1787088314.707
21,signed,320021,129.000,3,79,1787088314.839
22,unsigned,,91.000,255,7,1787088314.933
22,signed,320022,129.000,3,79,1787088315.064
23,unsigned,,88.000,255,7,1787088315.154
23,signed,320023,128.000,3,79,1787088315.284
24,unsigned,,89.000,255,7,1787088315.376
24,signed,320024,130.000,3,79,1787088315.509
