seq,condition,counter,rtt_ms,resp_type,req_bytes,unix_time
0,unsigned,,56.179,255,7,1787092238.193
0,signed,430000,225.405,3,79,1787092238.419
1,unsigned,,89.081,255,7,1787092238.508
1,signed,430001,90.707,3,79,1787092238.599
2,unsigned,,134.076,255,7,1787092238.733
2,signed,430002,90.752,3,79,1787092238.824
3,unsigned,,89.089,255,7,1787092238.913
3,signed,430003,135.731,3,79,1787092239.049
4,unsigned,,89.095,255,7,1787092239.138
4,signed,430004,90.735,3,79,1787092239.229
5,unsigned,,89.116,255,7,1787092239.318
5,signed,430005,90.774,3,79,1787092239.409
6,unsigned,,89.119,255,7,1787092239.498
6,signed,430006,90.663,3,79,1787092239.589
7,unsigned,,89.016,255,7,1787092239.678
7,signed,430007,136.005,3,79,1787092239.814
8,unsigned,,88.835,255,7,1787092239.903
8,signed,430008,98.261,3,79,1787092240.001
9,unsigned,,28.990,255,7,1787092240.030
9,signed,430009,60.769,3,79,1787092240.091
10,unsigned,,29.096,255,7,1787092240.120
10,signed,430010,60.727,3,79,1787092240.181
11,unsigned,,29.058,255,7,1787092240.210
11,signed,430011,60.783,3,79,1787092240.271
12,unsigned,,29.064,255,7,1787092240.300
12,signed,430012,60.785,3,79,1787092240.361
13,unsigned,,29.064,255,7,1787092240.390
13,signed,430013,60.839,3,79,1787092240.451
14,unsigned,,28.996,255,7,1787092240.480
14,signed,430014,60.768,3,79,1787092240.541
15,unsigned,,29.067,255,7,1787092240.570
15,signed,430015,61.001,3,79,1787092240.631
16,unsigned,,28.849,255,7,1787092240.660
16,signed,430016,60.782,3,79,1787092240.721
17,unsigned,,29.079,255,7,1787092240.750
17,signed,430017,60.785,3,79,1787092240.811
18,unsigned,,29.069,255,7,1787092240.840
18,signed,430018,60.761,3,79,1787092240.901
19,unsigned,,29.073,255,7,1787092240.930
19,signed,430019,60.777,3,79,1787092240.991
20,unsigned,,29.064,255,7,1787092241.020
20,signed,430020,60.788,3,79,1787092241.081
21,unsigned,,29.065,255,7,1787092241.110
21,signed,430021,60.785,3,79,1787092241.171
22,unsigned,,29.066,255,7,1787092241.200
22,signed,430022,60.791,3,79,1787092241.261
23,unsigned,,29.066,255,7,1787092241.290
23,signed,430023,60.839,3,79,1787092241.351
24,unsigned,,29.110,255,7,1787092241.380
24,signed,430024,60.743,3,79,1787092241.441
25,unsigned,,28.982,255,7,1787092241.470
25,signed,430025,60.761,3,79,1787092241.531
