seq,condition,counter,rtt_ms,resp_type,req_bytes,unix_time
0,unsigned,,98.000,255,7,1787088329.467
0,signed,330000,148.000,3,79,1787088329.619
1,unsigned,,91.000,255,7,1787088329.714
1,signed,330001,130.000,3,79,1787088329.847
2,unsigned,,92.000,255,7,1787088329.942
2,signed,330002,130.000,3,79,1787088330.076
3,unsigned,,91.000,255,7,1787088330.171
3,signed,330003,129.000,3,79,1787088330.302
4,unsigned,,90.000,255,7,1787088330.396
4,signed,330004,132.000,3,79,1787088330.532
5,unsigned,,90.000,255,7,1787088330.624
5,signed,330005,131.000,3,79,1787088330.757
6,unsigned,,88.000,255,7,1787088330.848
6,signed,330006,128.000,3,79,1787088330.979
7,unsigned,,91.000,255,7,1787088331.072
7,signed,330007,130.000,3,79,1787088331.205
8,unsigned,,88.000,255,7,1787088331.296
8,signed,330008,129.000,3,79,1787088331.428
9,unsigned,,92.000,255,7,1787088331.523
9,signed,330009,134.000,3,79,1787088331.660
10,unsigned,,95.000,255,7,1787088331.758
10,signed,330010,130.000,3,79,1787088331.891
11,unsigned,,88.000,255,7,1787088331.982
11,signed,330011,130.000,3,79,1787088332.114
12,unsigned,,88.000,255,7,1787088332.205
12,signed,330012,132.000,3,79,1787088332.339
13,unsigned,,92.000,255,7,1787088332.434
13,signed,330013,129.000,3,79,1787088332.564
14,unsigned,,90.000,255,7,1787088332.657
14,signed,330014,135.000,3,79,1787088332.795
15,unsigned,,92.000,255,7,1787088332.887
15,signed,330015,130.000,3,79,1787088333.018
16,unsigned,,91.000,255,7,1787088333.111
16,signed,330016,129.000,3,79,1787088333.243
17,unsigned,,92.000,255,7,1787088333.336
17,signed,330017,130.000,3,79,1787088333.469
18,unsigned,,88.000,255,7,1787088333.558
18,signed,330018,130.000,3,79,1787088333.690
19,unsigned,,89.000,255,7,1787088333.782
19,signed,330019,130.000,3,79,1787088333.914
20,unsigned,,91.000,255,7,1787088334.008
20,signed,330020,128.000,3,79,1787088334.139
21,unsigned,,90.000,255,7,1787088334.230
21,signed,330021,128.000,3,79,1787088334.361
22,unsigned,,88.000,255,7,1787088334.452
22,signed,330022,131.000,3,79,1787088334.585
23,unsigned,,89.000,255,7,1787088334.676
23,signed,330023,129.000,3,79,1787088334.808
24,unsigned,,89.000,255,7,1787088334.898
24,signed,330024,131.000,3,79,1787088335.030
25,unsigned,,87.000,255,7,1787088335.119
25,signed,330025,130.000,3,79,1787088335.250
26,unsigned,,91.000,255,7,1787088335.343
26,signed,330026,129.000,3,79,1787088335.475
27,unsigned,,90.000,255,7,1787088335.567
27,signed,330027,131.000,3,79,1787088335.700
28,unsigned,,90.000,255,7,1787088335.791
28,signed,330028,130.000,3,79,1787088335.924
29,unsigned,,89.000,255,7,1787088336.015
29,signed,330029,131.000,3,79,1787088336.148
30,unsigned,,89.000,255,7,1787088336.239
30,signed,330030,135.000,3,79,1787088336.377
31,unsigned,,90.000,255,7,1787088336.470
31,signed,330031,128.000,3,79,1787088336.600
32,unsigned,,90.000,255,7,1787088336.692
32,signed,330032,129.000,3,79,1787088336.823
33,unsigned,,89.000,255,7,1787088336.914
33,signed,330033,134.000,3,79,1787088337.050
34,unsigned,,135.000,255,7,1787088337.188
34,signed,330034,131.000,3,79,1787088337.322
35,unsigned,,91.000,255,7,1787088337.415
35,signed,330035,130.000,3,79,1787088337.548
36,unsigned,,91.000,255,7,1787088337.641
36,signed,330036,130.000,3,79,1787088337.773
37,unsigned,,90.000,255,7,1787088337.865
37,signed,330037,131.000,3,79,1787088337.998
38,unsigned,,86.000,255,7,1787088338.087
38,signed,330038,129.000,3,79,1787088338.219
39,unsigned,,88.000,255,7,1787088338.310
39,signed,330039,129.000,3,79,1787088338.442
40,unsigned,,93.000,255,7,1787088338.537
40,signed,330040,129.000,3,79,1787088338.669
41,unsigned,,89.000,255,7,1787088338.759
41,signed,330041,197.000,3,79,1787088338.960
42,unsigned,,132.000,255,7,1787088339.094
42,signed,330042,145.000,3,79,1787088339.241
43,unsigned,,92.000,255,7,1787088339.335
43,signed,330043,132.000,3,79,1787088339.469
44,unsigned,,88.000,255,7,1787088339.559
44,signed,330044,130.000,3,79,1787088339.690
45,unsigned,,86.000,255,7,1787088339.779
45,signed,330045,130.000,3,79,1787088339.913
46,unsigned,,90.000,255,7,1787088340.006
46,signed,330046,129.000,3,79,1787088340.137
47,unsigned,,92.000,255,7,1787088340.231
47,signed,330047,131.000,3,79,1787088340.364
48,unsigned,,91.000,255,7,1787088340.456
48,signed,330048,129.000,3,79,1787088340.588
49,unsigned,,88.000,255,7,1787088340.678
49,signed,330049,129.000,3,79,1787088340.809
50,unsigned,,98.000,255,7,1787088340.910
50,signed,330050,130.000,3,79,1787088341.043
51,unsigned,,91.000,255,7,1787088341.135
51,signed,330051,128.000,3,79,1787088341.265
52,unsigned,,90.000,255,7,1787088341.358
52,signed,330052,130.000,3,79,1787088341.491
53,unsigned,,89.000,255,7,1787088341.581
53,signed,330053,129.000,3,79,1787088341.711
54,unsigned,,92.000,255,7,1787088341.806
54,signed,330054,127.000,3,79,1787088341.936
55,unsigned,,91.000,255,7,1787088342.028
55,signed,330055,129.000,3,79,1787088342.159
56,unsigned,,90.000,255,7,1787088342.250
56,signed,330056,129.000,3,79,1787088342.382
57,unsigned,,92.000,255,7,1787088342.477
57,signed,330057,131.000,3,79,1787088342.610
58,unsigned,,88.000,255,7,1787088342.701
58,signed,330058,128.000,3,79,1787088342.831
59,unsigned,,87.000,255,7,1787088342.922
59,signed,330059,127.000,3,79,1787088343.052
60,unsigned,,90.000,255,7,1787088343.145
60,signed,330060,130.000,3,79,1787088343.278
61,unsigned,,89.000,255,7,1787088343.370
61,signed,330061,129.000,3,79,1787088343.502
62,unsigned,,89.000,255,7,1787088343.593
62,signed,330062,131.000,3,79,1787088343.726
63,unsigned,,90.000,255,7,1787088343.819
63,signed,330063,132.000,3,79,1787088343.953
64,unsigned,,92.000,255,7,1787088344.048
64,signed,330064,146.000,3,79,1787088344.197
65,unsigned,,92.000,255,7,1787088344.292
65,signed,330065,131.000,3,79,1787088344.424
66,unsigned,,88.000,255,7,1787088344.515
66,signed,330066,132.000,3,79,1787088344.649
67,unsigned,,86.000,255,7,1787088344.738
67,signed,330067,128.000,3,79,1787088344.869
68,unsigned,,91.000,255,7,1787088344.962
68,signed,330068,130.000,3,79,1787088345.095
69,unsigned,,89.000,255,7,1787088345.186
69,signed,330069,129.000,3,79,1787088345.317
70,unsigned,,88.000,255,7,1787088345.407
70,signed,330070,126.000,3,79,1787088345.535
71,unsigned,,91.000,255,7,1787088345.628
71,signed,330071,131.000,3,79,1787088345.762
72,unsigned,,87.000,255,7,1787088345.852
72,signed,330072,129.000,3,79,1787088345.983
73,unsigned,,97.000,255,7,1787088346.082
73,signed,330073,128.000,3,79,1787088346.213
74,unsigned,,92.000,255,7,1787088346.309
74,signed,330074,131.000,3,79,1787088346.443
75,unsigned,,92.000,255,7,1787088346.537
75,signed,330075,129.000,3,79,1787088346.668
76,unsigned,,90.000,255,7,1787088346.760
76,signed,330076,133.000,3,79,1787088346.896
77,unsigned,,87.000,255,7,1787088346.986
77,signed,330077,129.000,3,79,1787088347.118
78,unsigned,,90.000,255,7,1787088347.210
78,signed,330078,132.000,3,79,1787088347.345
79,unsigned,,90.000,255,7,1787088347.437
79,signed,330079,129.000,3,79,1787088347.567
80,unsigned,,90.000,255,7,1787088347.658
80,signed,330080,130.000,3,79,1787088347.791
81,unsigned,,94.000,255,7,1787088347.887
81,signed,330081,127.000,3,79,1787088348.017
82,unsigned,,91.000,255,7,1787088348.110
82,signed,330082,129.000,3,79,1787088348.242
83,unsigned,,93.000,255,7,1787088348.336
83,signed,330083,128.000,3,79,1787088348.467
84,unsigned,,91.000,255,7,1787088348.561
84,signed,330084,131.000,3,79,1787088348.695
85,unsigned,,89.000,255,7,1787088348.785
85,signed,330085,130.000,3,79,1787088348.917
86,unsigned,,89.000,255,7,1787088349.008
86,signed,330086,128.000,3,79,1787088349.138
87,unsigned,,88.000,255,7,1787088349.229
87,signed,330087,129.000,3,79,1787088349.362
88,unsigned,,87.000,255,7,1787088349.452
88,signed,330088,132.000,3,79,1787088349.586
89,unsigned,,89.000,255,7,1787088349.678
89,signed,330089,128.000,3,79,1787088349.810
90,unsigned,,91.000,255,7,1787088349.903
90,signed,330090,132.000,3,79,1787088350.037
91,unsigned,,89.000,255,7,1787088350.129
91,signed,330091,129.000,3,79,1787088350.261
92,unsigned,,89.000,255,7,1787088350.352
92,signed,330092,131.000,3,79,1787088350.486
93,unsigned,,92.000,255,7,1787088350.580
93,signed,330093,136.000,3,79,1787088350.719
94,unsigned,,90.000,255,7,1787088350.811
94,signed,330094,129.000,3,79,1787088350.943
95,unsigned,,91.000,255,7,1787088351.037
