seq,condition,counter,rtt_ms,resp_type,req_bytes,unix_time
0,unsigned,,109.000,255,7,1787087544.134
0,signed,310000,175.000,3,79,1787087544.313
1,unsigned,,95.000,255,7,1787087544.411
1,signed,310001,135.000,3,79,1787087544.549
2,unsigned,,94.000,255,7,1787087544.645
2,signed,310002,167.000,3,79,1787087544.815
3,unsigned,,114.000,255,7,1787087544.931
3,signed,310003,130.000,3,79,1787087545.063
4,unsigned,,91.000,255,7,1787087545.157
4,signed,310004,139.000,3,79,1787087545.297
5,unsigned,,90.000,255,7,1787087545.389
5,signed,310005,157.000,3,79,1787087545.549
6,unsigned,,93.000,255,7,1787087545.644
6,signed,310006,143.000,3,79,1787087545.790
7,unsigned,,95.000,255,7,1787087545.887
7,signed,310007,156.000,3,79,1787087546.046
8,unsigned,,89.000,255,7,1787087546.137
8,signed,310008,133.000,3,79,1787087546.274
9,unsigned,,91.000,255,7,1787087546.368
9,signed,310009,129.000,3,79,1787087546.500
10,unsigned,,89.000,255,7,1787087546.591
10,signed,310010,145.000,3,79,1787087546.739
11,unsigned,,179.000,255,7,1787087546.921
11,signed,310011,189.000,3,79,1787087547.114
12,unsigned,,97.000,255,7,1787087547.214
12,signed,310012,214.000,3,79,1787087547.430
13,unsigned,,94.000,255,7,1787087547.527
13,signed,310013,194.000,3,79,1787087547.725
14,unsigned,,88.000,255,7,1787087547.816
14,signed,310014,137.000,3,79,1787087547.954
15,unsigned,,107.000,255,7,1787087548.063
15,signed,310015,155.000,3,79,1787087548.220
16,unsigned,,90.000,255,7,1787087548.313
16,signed,310016,146.000,3,79,1787087548.461
17,unsigned,,117.000,255,7,1787087548.580
17,signed,310017,144.000,3,79,1787087548.727
18,unsigned,,94.000,255,7,1787087548.824
18,signed,310018,132.000,3,79,1787087548.959
19,unsigned,,127.000,255,7,1787087549.089
19,signed,310019,162.000,3,79,1787087549.253
20,unsigned,,94.000,255,7,1787087549.350
20,signed,310020,129.000,3,79,1787087549.481
21,unsigned,,86.000,255,7,1787087549.570
21,signed,310021,175.000,3,79,1787087549.747
22,unsigned,,98.000,255,7,1787087549.847
22,signed,310022,135.000,3,79,1787087549.984
23,unsigned,,103.000,255,7,1787087550.090
23,signed,310023,175.000,3,79,1787087550.268
24,unsigned,,98.000,255,7,1787087550.369
24,signed,310024,141.000,3,79,1787087550.512
25,unsigned,,93.000,255,7,1787087550.606
25,signed,310025,170.000,3,79,1787087550.779
26,unsigned,,87.000,255,7,1787087550.869
