seq,condition,counter,rtt_ms,resp_type,req_bytes,unix_time
0,unsigned,,99.000,255,7,1787000258.591
0,signed,200000,161.000,3,79,1787000258.758
1,unsigned,,105.000,255,7,1787000258.866
1,signed,200001,142.000,3,79,1787000259.011
2,unsigned,,160.000,255,7,1787000259.173
2,signed,200002,143.000,3,79,1787000259.319
3,unsigned,,101.000,255,7,1787000259.424
3,signed,200003,145.000,3,79,1787000259.572
4,unsigned,,103.000,255,7,1787000259.677
4,signed,200004,145.000,3,79,1787000259.826
5,unsigned,,103.000,255,7,1787000259.933
5,signed,200005,147.000,3,79,1787000260.084
6,unsigned,,102.000,255,7,1787000260.189
6,signed,200006,142.000,3,79,1787000260.334
7,unsigned,,103.000,255,7,1787000260.441
7,signed,200007,147.000,3,79,1787000260.591
8,unsigned,,125.000,255,7,1787000260.718
8,signed,200008,142.000,3,79,1787000260.864
9,unsigned,,103.000,255,7,1787000260.970
9,signed,200009,142.000,3,79,1787000261.116
10,unsigned,,104.000,255,7,1787000261.223
10,signed,200010,145.000,3,79,1787000261.372
11,unsigned,,102.000,255,7,1787000261.476
11,signed,200011,144.000,3,79,1787000261.623
12,unsigned,,103.000,255,7,1787000261.728
12,signed,200012,142.000,3,79,1787000261.873
13,unsigned,,103.000,255,7,1787000261.979
13,signed,200013,147.000,3,79,1787000262.129
14,unsigned,,104.000,255,7,1787000262.236
14,signed,200014,173.000,3,79,1787000262.413
15,unsigned,,103.000,255,7,1787000262.520
15,signed,200015,139.000,3,79,1787000262.662
16,unsigned,,106.000,255,7,1787000262.771
16,signed,200016,150.000,3,79,1787000262.925
17,unsigned,,102.000,255,7,1787000263.030
17,signed,200017,142.000,3,79,1787000263.175
18,unsigned,,112.000,255,7,1787000263.292
18,signed,200018,139.000,3,79,1787000263.435
19,unsigned,,101.000,255,7,1787000263.540
19,signed,200019,142.000,3,79,1787000263.686
20,unsigned,,105.000,255,7,1787000263.795
20,signed,200020,145.000,3,79,1787000263.943
21,unsigned,,104.000,255,7,1787000264.049
21,signed,200021,146.000,3,79,1787000264.197
22,unsigned,,106.000,255,7,1787000264.306
22,signed,200022,146.000,3,79,1787000264.456
23,unsigned,,109.000,255,7,1787000264.568
23,signed,200023,145.000,3,79,1787000264.717
24,unsigned,,102.000,255,7,1787000264.822
24,signed,200024,141.000,3,79,1787000264.967
25,unsigned,,103.000,255,7,1787000265.073
25,signed,200025,143.000,3,79,1787000265.220
26,unsigned,,105.000,255,7,1787000265.329
26,signed,200026,143.000,3,79,1787000265.475
27,unsigned,,101.000,255,7,1787000265.579
27,signed,200027,146.000,3,79,1787000265.727
28,unsigned,,105.000,255,7,1787000265.835
28,signed,200028,145.000,3,79,1787000265.983
29,unsigned,,108.000,255,7,1787000266.095
29,signed,200029,144.000,3,79,1787000266.242
30,unsigned,,104.000,255,7,1787000266.349
30,signed,200030,142.000,3,79,1787000266.493
31,unsigned,,100.000,255,7,1787000266.596
31,signed,200031,151.000,3,79,1787000266.750
32,unsigned,,100.000,255,7,1787000266.854
32,signed,200032,150.000,3,79,1787000267.008
33,unsigned,,102.000,255,7,1787000267.113
33,signed,200033,140.000,3,79,1787000267.257
34,unsigned,,102.000,255,7,1787000267.362
34,signed,200034,143.000,3,79,1787000267.508
35,unsigned,,103.000,255,7,1787000267.613
35,signed,200035,146.000,3,79,1787000267.763
36,unsigned,,103.000,255,7,1787000267.870
36,signed,200036,147.000,3,79,1787000268.021
37,unsigned,,104.000,255,7,1787000268.129
37,signed,200037,141.000,3,79,1787000268.274
38,unsigned,,103.000,255,7,1787000268.380
38,signed,200038,144.000,3,79,1787000268.527
39,unsigned,,102.000,255,7,1787000268.632
39,signed,200039,146.000,3,79,1787000268.781
40,unsigned,,106.000,255,7,1787000268.890
40,signed,200040,140.000,3,79,1787000269.033
41,unsigned,,101.000,255,7,1787000269.136
41,signed,200041,141.000,3,79,1787000269.280
42,unsigned,,105.000,255,7,1787000269.388
42,signed,200042,147.000,3,79,1787000269.539
43,unsigned,,103.000,255,7,1787000269.645
43,signed,200043,142.000,3,79,1787000269.790
44,unsigned,,101.000,255,7,1787000269.894
44,signed,200044,148.000,3,79,1787000270.045
45,unsigned,,103.000,255,7,1787000270.150
